,Human A13,Human A14,Human A19,Human A1C,Human A23,Human A25,Human A29-A30,Human A32,Human A35-A36,Human A35r,Human A38,Human A40,Human A43,Human A44-A45,Human A46,Human A5-A7,Human ACC,Human ANC,Human AON,Human BL,Human BM,Human BNST,Human CA1,Human CA1-2R,Human CA1C-CA3C,Human CA1R-CA2R-CA3R,Human CA1U-CA2U-CA3U,Human CA2U-CA3U,Human CA3R,Human CA4C-DGC,Human CBL,Human CBV,Human CEN,Human CM,Human CM-Pf,Human CMN,Human CaB,Human CbDN,Human Cla,Human CoA,Human DGR-CA4,Human DGR-CA4Rpy,Human DGU-CA4Upy,Human DTg,Human ETH,Human FI,Human GPe,Human GPi,Human HTHma,Human HTHma-HTHtub,Human HTHpo,Human HTHpo-HTHso,Human HTHso,Human HTHso-HTHtub,Human HTHtub,Human IC,Human IO,Human ITG,Human Idg,Human Ig,Human LEC,Human LG,Human LP,Human LP-VPL,Human La,Human M1C,Human MD,Human MD-Re,Human MEC,Human MG,Human MN,Human MTG,Human MoAN,Human MoRF-MoEN,Human MoSR,Human NAC,Human PAG,Human PAG-DR,Human PB,Human PN,Human PTR,Human Pir,Human PnAN,Human PnEN,Human PnRF,Human Pro,Human Pu,Human Pul,Human RN,Human S1C,Human SC,Human SEP,Human SI,Human SN,Human SN-RN,Human STG,Human STH,Human SpC,Human Sub,Human TF,Human TH-TL,Human V1C,Human V2,Human VA,Human VLN,Human VPL
Cluster0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,3,0,2,1,2,3,0,0,3,1,0,0,3,0,1,1,1,5,12,0,0,0,0,0,0,1,2,2,3,1,1,1,1,2,0,0,0,0,1,0,0,1,1,0,1,0,0,2,1,3,1,0,0,0,5,5,0,1,0,0,0,0,1,0,12,5,0,1,0,1,1,1,0,0,0,0,0
Cluster1,2,1,8,4,2,1,1,1,4,14,9,4,5,4,4,1,7,34,2,3,9,12,53,0,5,14,5,4,5,23,7,31,23,15,10,2,0,187,47,8,0,18,12,12,14,0,77,152,2,2,7,5,2,7,22,25,58,10,3,8,12,19,18,12,0,5,7,14,6,5,108,51,51,35,16,3,40,18,60,54,8,7,22,73,106,5,10,34,7,4,10,50,7,184,79,19,24,202,11,7,11,9,3,17,16,8
Cluster2,2,0,4,1,1,0,0,0,0,21,2,5,1,3,2,3,2,8,0,3,3,1,13,0,0,1,4,2,0,7,2,25,10,13,7,3,0,34,14,3,2,7,4,4,2,2,38,37,0,1,2,0,5,0,6,10,8,1,1,0,1,10,15,5,4,3,7,5,2,1,19,15,9,6,3,2,18,2,8,10,1,2,4,13,25,2,1,17,1,3,0,4,3,32,22,8,7,8,5,1,10,3,3,6,12,3
Cluster3,2,1,1,2,1,2,1,1,0,4,0,1,4,3,0,1,1,6,0,2,2,5,9,0,1,4,3,0,0,3,2,3,5,8,17,2,2,14,14,3,0,5,3,2,1,1,13,14,1,2,0,1,2,0,2,1,5,1,0,3,1,8,10,3,0,2,6,5,0,0,16,7,33,8,3,1,1,2,2,7,1,2,6,45,19,0,6,8,2,2,0,17,3,15,15,2,14,9,6,1,2,1,1,5,15,4
Cluster4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,3,0,6,1,1,1,0,0,3,1,1,0,3,0,0,2,5,3,0,0,12,8,2,0,1,0,0,0,10,49,0,0,0,1,2,1,0,0,0,0,0,0,2,86,1,31,2,16,0,19,1,2,65,0,2,6,85,31,0,1,2,2,0,5,5,0,12,3,0,0,237,1,0,2,0,0,2,0,0
Cluster5,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,1,2,0,0,0,109,3,0,0,0,0,0,0,0,1,1,0,2,1,3,1,196,3,2,3,0,4,3,0,0,0,0,1,3,5,1,0,0,0,0,1,3,1,0,1,0,0,2,2,0,1,1,207,11,12,1,2,1,0,0,0,1,1,4,2,0,0,10,0,0,3,146,1,3,0,0,2,2,2,0,1,0,0,0,0,0
Cluster6,2,0,0,2,0,10,1,7,3,40,6,2,8,1,3,7,14,15,0,9,22,13,174,2,67,35,29,7,29,161,9,20,59,17,26,10,7,85,58,17,3,36,49,7,8,7,70,172,2,7,1,5,3,4,11,10,37,2,13,5,5,11,19,36,4,4,15,17,8,8,29,23,23,21,7,2,22,8,22,58,2,12,15,48,94,1,9,24,5,4,4,44,16,141,70,5,31,62,31,2,40,5,3,14,26,6
Cluster7,18,6,30,47,4,56,7,12,5,94,29,40,47,25,21,63,28,97,43,42,39,54,110,13,104,255,180,22,54,490,42,228,104,59,245,34,30,2159,241,1,5,435,367,136,56,28,3179,7228,50,114,17,49,0,24,17,157,481,41,25,37,31,156,324,156,29,52,94,26,57,72,1245,301,309,448,20,35,665,75,397,710,89,32,494,436,2194,60,75,241,103,104,85,286,62,3573,2007,202,529,675,78,26,67,44,17,36,295,193
Cluster8,6,1,6,20,5,16,5,10,19,67,4,7,14,5,9,6,13,92,21,27,59,74,283,12,35,34,17,14,92,355,71,359,333,38,53,44,22,156,63,26,18,190,343,12,26,20,239,231,3,21,38,21,7,28,128,94,108,16,22,14,10,48,11,85,7,7,35,106,15,8,203,83,156,144,6,27,226,62,47,137,8,40,37,51,155,7,12,150,5,8,32,170,93,638,360,42,34,156,95,2,49,15,9,48,33,6
Cluster9,17,10,29,23,19,20,8,84,20,74,43,18,51,12,27,14,65,12,29,24,34,7,231,14,27,32,13,10,22,175,29,69,33,9,12,26,18,55,54,4,0,68,65,21,5,12,187,284,1,10,5,10,0,3,4,16,46,49,27,29,25,54,26,30,8,19,11,28,62,12,10,220,54,119,2,14,101,9,46,60,15,25,45,34,154,29,21,115,3,16,17,46,21,281,417,110,22,82,118,23,135,29,31,10,128,13
Cluster10,15,4,14,47,9,28,11,16,17,151,12,29,34,20,21,15,55,52,29,24,49,79,254,10,19,36,57,7,43,166,44,380,405,62,110,50,14,513,183,9,5,69,114,55,20,16,1325,2900,12,83,36,37,0,33,8,179,267,35,28,29,22,85,88,162,22,34,73,80,25,48,190,362,144,285,6,14,530,98,138,251,46,53,167,127,379,21,40,397,25,30,80,100,49,1548,1187,330,143,416,141,33,115,29,27,36,76,111
Cluster11,97,34,166,155,75,229,11,121,174,326,306,173,263,140,127,150,366,167,133,143,293,105,637,76,226,258,114,358,34,411,22,316,966,95,176,214,82,7,270,92,47,1255,1146,23,60,246,205,132,18,60,71,28,229,72,116,125,22,222,278,217,233,48,140,175,164,148,162,185,252,30,63,1147,27,71,0,68,149,20,68,59,27,353,34,37,149,177,109,506,8,145,37,110,210,189,234,353,24,17,284,128,306,113,136,28,389,44
Cluster12,2,0,11,17,5,2,3,4,8,17,5,6,20,1,5,6,11,14,2,8,10,12,34,5,5,23,11,2,10,18,23,58,50,4,17,11,7,326,17,1,4,37,37,14,3,12,229,383,3,16,2,0,0,8,7,19,47,5,14,26,17,29,29,6,5,10,6,7,16,5,94,103,55,35,5,5,29,9,41,36,7,14,25,39,67,11,24,29,6,21,11,306,13,170,145,43,51,29,12,5,23,10,12,16,29,27
Cluster13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster14,0,0,1,2,2,2,0,1,1,105,0,1,4,0,1,1,2,7,0,5,9,1,65,3,5,6,1,2,16,39,7,41,3,1,8,11,2,10,3,0,2,8,6,5,2,2,7,3,1,0,0,1,7,0,7,4,7,4,0,3,1,13,12,1,0,15,2,5,1,2,6,9,13,7,10,1,4,1,4,12,1,1,7,32,13,4,2,14,1,2,1,14,2,7,7,4,4,40,25,0,3,0,2,0,5,1
Cluster15,8,2,4,14,6,8,2,0,4,237,3,5,13,20,3,8,12,32,3,25,15,3,133,6,18,21,3,3,20,90,13,180,18,4,30,29,5,32,14,8,13,34,27,46,11,29,52,14,5,5,1,2,3,0,20,13,46,4,6,15,3,59,86,9,11,26,14,13,3,2,21,87,52,31,27,0,19,8,18,59,5,24,36,75,82,11,13,88,5,14,11,29,8,31,46,19,12,122,64,6,10,11,16,4,39,17
Cluster16,0,1,0,3,1,1,2,1,2,155,1,0,4,4,2,2,2,10,1,10,11,4,59,6,3,3,2,1,6,35,6,43,7,0,6,16,1,16,1,2,2,22,13,6,2,5,13,19,4,4,0,1,8,0,6,3,38,3,3,2,0,11,9,1,0,13,11,3,2,0,23,21,14,10,6,1,6,4,9,17,0,7,8,11,12,2,6,16,4,0,4,38,6,38,29,3,1,43,34,1,11,2,10,8,6,1
Cluster17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,9,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0,4,0,8,0,0,0,0,6,0,1,2,6,2,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,1,0,0,0,0,0
Cluster18,0,0,0,0,0,0,0,4,3,47,0,0,0,4,0,0,1,1,0,0,6,1,14,4,4,0,5,1,7,10,6,6,0,0,15,3,0,2,0,6,2,4,0,0,0,4,6,1,3,1,0,0,1,0,0,10,33,2,0,0,0,15,3,0,0,1,2,1,2,0,31,14,31,3,7,0,1,1,1,15,1,10,2,12,9,0,1,26,0,0,0,7,1,13,1,0,0,5,2,2,6,2,3,0,2,1
Cluster19,1,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,17,1,2,0,1,2,1,0,2,0,0,4,6,1,1,3,2,3,2,2,2,0,1,1,0,1,4,1,0,3,4,5,0,0,1,2,1,0,3,10,0,0,1,1,12,2,1,0,7,6,7,1,0,6,0,10,0,7,1,2,0,5,1,3,1,1,6,1,0,0,13,0,1,0,10,2,7,13,0,1,2,1,0,0,1,0,0,0,0
Cluster20,0,0,3,2,2,1,0,0,3,8,0,2,0,3,3,1,4,30,0,5,2,3,7,3,3,2,1,3,6,13,1,7,8,7,20,5,2,12,0,4,3,2,1,15,3,9,18,15,6,0,0,1,6,0,0,6,59,1,4,8,3,33,10,4,0,5,11,13,4,0,89,5,22,9,15,8,6,4,14,19,4,26,4,11,9,1,4,34,1,3,1,32,7,29,29,1,7,6,3,2,7,2,3,1,10,1
Cluster21,2,1,0,2,3,4,5,3,0,24,2,4,4,5,5,2,1,7,1,6,1,4,34,1,2,13,4,2,5,22,9,50,6,29,23,4,3,38,1,4,0,4,3,43,10,3,40,101,4,5,6,2,0,0,2,9,39,0,3,5,1,141,67,6,0,15,7,8,3,11,11,25,38,41,31,1,18,12,22,40,4,4,29,117,62,1,3,122,5,3,11,22,1,44,36,14,28,71,16,1,1,5,3,0,21,16
Cluster22,7,1,9,6,2,5,2,1,4,44,3,5,14,8,5,4,2,49,4,13,11,7,32,3,5,10,7,4,6,17,16,124,16,100,21,4,5,29,9,7,6,22,13,11,13,13,49,67,5,5,1,1,11,0,7,5,12,10,3,4,8,58,98,61,7,18,29,44,5,4,16,48,19,4,8,5,5,6,13,32,2,7,7,55,38,5,17,83,9,3,9,27,10,43,37,14,17,7,10,7,9,9,7,11,41,5
Cluster23,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,3,1,0,1,1,3,4,0,0,0,0,0,0,1,0,0,0,0,2,0,2,5,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,1,0,0,0,0,1,6,0,0,0,0,0,1,2,0,2,1
Cluster24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,5,36,0,0,0,0,0,0,0,4,0,1,0,0,6,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cluster25,0,2,1,1,3,0,0,2,3,58,2,0,1,1,0,0,1,8,0,0,3,3,1,2,1,0,2,0,2,4,6,22,1,5,47,2,1,15,1,8,0,2,0,12,5,2,14,9,5,1,2,1,2,0,4,10,15,0,0,1,2,18,12,7,0,5,4,4,5,0,59,13,6,7,1,0,10,2,13,20,2,7,2,36,23,1,2,12,6,0,5,28,7,11,13,0,13,4,1,1,19,3,8,8,14,1
Cluster26,0,1,1,3,2,1,0,0,0,40,3,1,1,1,1,1,2,10,2,8,7,3,5,4,6,12,11,0,0,17,33,76,10,6,30,5,0,18,22,8,1,3,4,18,13,9,48,40,4,11,0,7,1,1,9,6,41,1,3,3,5,40,26,7,7,1,8,6,7,3,25,16,15,14,4,2,15,9,10,46,13,5,6,46,50,2,7,42,9,1,4,80,8,61,30,2,47,22,8,4,10,0,4,22,13,4
Cluster27,2,2,4,9,2,2,0,3,17,53,11,9,14,7,4,3,12,44,0,23,15,10,38,4,17,11,29,0,10,18,8,18,34,32,178,20,8,23,23,7,3,24,20,42,21,19,21,9,6,6,1,9,12,2,45,26,12,4,7,3,9,90,51,43,20,17,31,48,7,7,30,41,7,8,3,2,19,8,18,79,33,10,7,48,79,3,15,44,1,3,11,14,23,19,29,14,12,2,13,3,6,2,6,8,89,8
Cluster28,13,1,6,21,8,6,11,1,13,92,7,10,22,2,3,1,11,15,2,12,7,12,77,6,19,8,92,0,9,44,11,39,6,44,120,35,6,126,22,0,3,4,16,88,19,9,134,93,10,23,3,9,1,5,0,24,103,4,8,17,11,298,175,37,7,24,45,40,19,22,19,44,21,38,10,6,64,20,54,46,29,15,21,118,88,6,34,225,10,6,18,30,20,97,79,34,81,12,52,7,8,2,10,35,173,44
Cluster29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0
Cluster30,0,5,0,0,0,0,0,0,0,60,11,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,0,0,0,0,4,13,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,9,1,0,0,0,0,0,0,4,0,18,1,18,8,2,0,0,1,1,0,0,2,1,1,2,0,0,4,0,0,2,82,0,2,1,0,0,0,0,0,7,0,1,0,1,0
Cluster31,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,5,0,0,6,0,0,0,0,1,0,0,0,3,7,5,0,0,0,1,0,0,0,3,0,4,0,0,1,0,0,0,0,0,1,0,1,0,2,5,12,2,0,0,0,2,0,0,0,0,0,0,0,0,78,2,58,13,51,0,0,1,1,8,0,7,5,7,4,0,0,24,0,0,0,311,1,1,0,0,1,3,0,1,11,0,3,0,0,0
Cluster32,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,2,3,0,0,0,16,1,2,1,77,0,112,0,1,0,0,0,0,0,0,0,0,0,49,0,1,0,0,0,0,0,0,4,8,0,0,0,0,1,2,0,0,1,2,21,1,0,507,0,1,0,1,0,4,5,28,1,0,0,1,1,12,0,0,12,0,0,2,2,1,24,7,0,3,0,0,0,1,0,0,0,0,0
Cluster33,17,4,4,4,15,9,29,9,8,20,3,7,5,5,4,11,10,950,9,23,4,158,170,12,41,62,109,7,51,220,551,3767,86,379,613,19,16,1703,27,4,18,63,77,1045,186,4,1303,1050,75,140,52,67,29,55,227,771,890,1,1,4,1,685,1276,542,7,72,272,301,13,186,448,61,715,781,170,17,1799,354,1074,2454,166,9,770,2053,4057,9,40,1263,263,12,411,709,110,3503,3759,76,916,1820,60,3,6,15,5,125,1179,369
Cluster34,109,69,150,136,122,270,149,104,216,1980,209,127,135,136,168,128,172,172,87,488,562,347,3641,189,273,267,220,88,182,1370,9,82,2642,14,87,453,185,16,608,360,200,1206,1288,43,29,206,330,44,33,44,171,42,312,80,316,19,11,129,122,165,148,73,158,12,261,240,44,47,195,12,109,1030,32,12,2,225,53,19,33,5,6,518,6,24,76,250,149,83,16,121,49,1078,297,205,168,674,42,12,1521,100,688,306,244,67,130,6
Cluster35,202,126,184,123,163,436,52,407,147,4063,409,321,385,214,296,133,323,15,237,265,475,101,1853,62,64,108,122,16,37,289,1,7,173,0,1,183,188,2,359,149,7,148,225,14,8,368,166,8,1,54,78,16,330,51,63,3,3,341,493,355,297,10,14,0,93,209,3,6,237,1,3,1907,24,3,2,276,16,2,21,1,2,315,2,4,21,168,197,20,1,60,11,123,239,51,12,354,7,6,2190,187,1234,42,139,28,3,1
Cluster36,3,2,2,1,3,15,4,4,18,341,14,4,2,4,4,4,1,7,3,4,18,8,24,0,9,1,7,7,2,16,1,5,54,43,2,7,16,8,4,1,2,8,6,5,19,2,28,31,3,5,13,9,0,6,7,6,13,4,6,6,6,10,10,19,4,28,14,4,11,5,6,17,7,3,19,20,37,1,5,42,4,10,6,28,33,5,12,14,1,1,5,26,8,88,47,8,17,132,16,5,10,2,3,1,37,4
Cluster37,4,2,3,1,1,10,3,1,8,50,14,5,4,10,7,3,3,0,7,7,17,5,38,2,3,4,4,1,3,17,1,12,15,0,3,9,2,17,9,2,7,23,27,4,1,9,6,2,5,1,0,0,4,2,3,1,9,6,10,4,8,2,0,0,10,5,4,0,3,1,14,36,11,5,6,7,3,1,3,5,1,11,1,12,19,9,3,6,2,2,4,11,8,31,15,9,9,21,26,6,24,3,2,0,6,0
Cluster38,6,1,4,0,6,9,0,2,3,51,7,2,8,8,3,3,6,1,7,7,3,2,69,8,10,5,7,2,1,25,1,16,8,0,5,3,5,18,7,6,5,37,39,3,1,5,8,2,2,0,2,0,7,0,0,3,1,4,5,3,6,7,2,0,1,6,1,0,5,1,2,28,7,4,6,7,2,0,3,6,1,7,0,44,5,5,2,4,3,1,3,18,6,19,16,7,7,19,25,0,12,7,3,0,9,0
Cluster39,0,0,3,1,1,2,0,0,1,10,3,2,0,1,0,1,0,3,0,7,3,1,13,0,6,0,0,1,0,5,0,1,5,0,3,7,3,1,0,1,0,2,2,1,0,1,1,1,1,0,1,0,5,0,1,1,1,1,1,0,1,0,0,0,2,1,1,1,5,0,2,2,1,2,0,5,3,0,1,1,0,7,0,5,1,1,3,0,1,0,0,0,6,3,1,2,0,1,6,1,1,1,0,1,3,1
Cluster40,9,6,21,17,8,18,8,15,46,92,33,20,26,15,29,18,29,31,29,71,81,36,212,15,73,31,30,31,36,229,1,24,149,4,23,68,40,73,76,28,25,225,204,21,3,27,103,26,4,15,35,11,8,5,8,20,38,16,24,29,59,27,46,20,60,28,5,7,67,12,41,165,86,44,60,37,65,14,61,22,9,62,29,107,116,14,28,31,8,10,10,76,58,162,82,60,69,100,106,25,91,20,15,18,20,13
Cluster41,0,5,8,0,4,2,1,4,2,0,7,6,4,2,6,0,9,2,5,34,3,9,34,4,34,4,13,1,13,14,0,0,9,1,1,22,6,1,2,20,5,4,2,1,0,7,211,0,2,4,1,1,237,2,55,3,0,3,3,2,8,1,0,1,226,6,0,5,47,0,3,5,2,2,11,5,2,1,1,0,2,51,2,5,1,1,8,1,0,2,3,6,27,3,2,1,1,2,11,4,4,3,1,4,4,0
Cluster42,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,72,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,7,51,0,0,1,0,0,0,0,0,3,1,0,5,0,0,3,0,0,1,0,7,11,3,0,0,0,0,58,26,6,1,0,3,7,2,0,0,1,1,1,6,0,2,2,3,1,0,0,0,7,3,0,0,27,0,1,7,1,0,4,1,0,3,1,0,0,0,0,0,2,817,5
Cluster43,0,0,0,0,1,0,0,1,0,0,1,3,1,1,0,0,0,9,2,2,0,7,7,0,3,0,3,0,3,5,0,1,4,4,3,3,0,7,1,2,0,1,0,6,1,2,14,1,0,0,0,2,48,0,23,3,2,1,0,2,0,8,2,5,25,6,3,6,3,0,2,0,3,1,8,0,1,3,0,2,2,5,3,6,7,0,1,5,0,2,7,5,3,2,0,0,0,0,3,1,0,0,2,3,102,0
Cluster44,113,12,100,151,97,61,269,17,67,505,60,70,160,114,76,150,210,1043,58,173,168,263,1420,153,420,790,574,31,473,2338,405,1441,788,1580,884,177,119,5821,1322,99,33,946,811,1319,369,55,2488,808,135,235,106,224,53,83,196,486,1894,68,76,153,62,1773,1476,3968,277,775,377,681,97,478,496,793,957,1372,983,83,2088,366,1059,3898,303,221,1668,4565,6940,154,106,2234,367,225,303,1571,338,11062,4312,755,3092,3044,699,94,149,197,120,619,1911,621
Cluster45,330,120,528,445,225,350,302,79,271,1828,532,411,587,331,491,516,887,1080,209,731,700,624,3038,309,731,1345,1128,194,880,3815,194,479,2524,1066,709,461,349,904,3559,407,135,1611,1758,391,254,319,9200,3093,192,291,157,513,161,151,202,450,503,404,446,486,423,571,818,2642,1192,828,230,498,354,423,884,3830,442,707,212,322,1930,487,730,745,350,809,537,916,2420,477,507,1058,428,376,261,2415,793,8108,5277,2401,2938,779,1436,452,1080,296,456,978,805,318
Cluster46,122,12,154,212,233,34,339,22,86,210,57,174,151,132,163,246,48,302,39,134,126,82,437,33,237,312,463,39,160,1223,298,1215,89,433,750,78,86,3547,310,15,42,806,620,526,120,31,2945,1634,22,237,43,58,2,28,14,247,543,100,103,248,70,548,2000,2465,79,860,203,310,176,386,199,1237,541,726,632,86,791,184,440,758,168,53,813,2492,1519,117,309,1347,462,416,247,333,104,4059,5892,1544,2331,698,414,97,259,298,237,106,1564,874
Cluster47,397,102,600,432,562,335,513,132,379,1241,535,604,548,464,665,569,542,813,316,1024,859,564,2588,281,884,1670,1632,146,404,3885,132,476,1302,1730,1142,664,646,409,2129,214,182,1720,1945,549,254,226,6776,3345,112,509,410,313,67,176,96,365,579,573,508,559,560,1329,4212,3403,966,891,897,1159,757,1347,497,5304,1080,633,428,625,3494,477,844,476,344,762,498,1985,2490,439,1025,4488,475,393,239,1463,1023,4855,3936,3238,5989,960,1869,550,1343,480,512,1152,1743,1413
Cluster48,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,12,0,0,0,1,0,14,0,805,0,0,1,0,0,0,1,0,0,0,0,1043,1,0,0,0,0,0,1,0,3,5,0,2,1,0,0,5,0,0,0,9,1,0,0,115,0,1,0,0,0,1,0,34,0,0,0,0,0,0,0,1,2,2,1,0,0,1,11,1,3,89,0,0,0,1,0,0,1,6,7
Cluster49,27,2,19,43,22,6,52,1,14,86,4,15,50,28,19,24,27,409,12,41,72,99,138,60,83,224,124,9,13,319,72,722,226,697,638,43,41,6190,176,26,16,199,285,2299,218,8,1716,1796,160,68,46,56,16,36,96,436,3723,16,13,22,11,1033,515,1527,44,450,109,142,17,303,301,201,2122,1792,2644,11,3293,354,1730,4311,229,55,2868,5889,8455,40,24,447,391,80,133,234,191,6365,5796,219,1672,5922,121,14,26,70,27,297,1470,239
Cluster50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,107,0,0,1,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2762,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0
Cluster51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,6614,0,0,0,0,0,19,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,101,19,7,0,0,0,7,0,0,0,96,34,7,0,0,1,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Cluster52,540,220,653,435,547,463,415,705,169,189,440,809,934,546,735,535,475,0,360,8,46,4,13,24,35,65,81,5,3,110,0,0,2,0,0,7,2,0,297,418,0,2,30,0,0,283,6,0,0,0,8,1,980,2,2,0,0,654,625,833,61,0,0,0,7,980,0,1,65,1,2,3794,0,0,0,3,0,1,0,0,0,153,0,0,0,466,15,1,0,480,4,44,59,0,0,2002,0,0,195,466,1585,640,743,0,0,0
Cluster53,1,0,0,2,1,2,1,1,0,30,2,0,1,2,1,0,2,0,0,12,21,1,871,35,266,328,48,21,85,1149,0,0,2,0,0,5,1,0,16,2,50,878,851,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,7,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,1,17,1,0,0,0,4,22,0,0,1,0,0,43,0,0,0,0,0,0,0
Cluster54,75,10,46,65,61,62,37,50,137,4426,224,43,76,51,35,21,72,15,94,813,799,85,3719,72,63,190,510,49,11,121,0,0,1893,0,0,815,11,0,877,304,7,105,269,0,0,189,89,8,0,8,20,11,24,15,15,0,0,56,141,95,645,1,5,0,633,154,0,0,685,2,6,287,0,0,0,11,0,0,0,1,0,722,0,0,0,59,65,3,1,27,2,47,132,44,0,98,2,0,2890,105,490,21,21,24,1,0
Cluster55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,4,3,100,4,0,0,1,3,1,0,13,0,0,7,0,0,5,607,0,34,2,0,1,0,0,0,1,486,15,0,0,150,0,12,1,1,0,0,0,0,0,0,0,0,0,9,3,0,0,1,0,15,1,0,0,0,518,0,0,0,0,0,6,0,0,0,0,683,0,0,0,0,45,560,3,0,0,0,0,0,0,0,0,0,248,1,0
Cluster56,0,6,1,0,0,8,0,2,3,22,4,2,2,16,2,3,10,27,18,19,5,12,34,1,6,9,18,2,10,12,0,0,20,8,39,32,6,2,2,109,5,2,3,14,4,18,3,1,1,8,4,4,358,0,119,9,11,3,4,3,2,20,14,2,42,10,6,8,13,2,7,4,12,5,7,16,9,3,10,10,10,56,4,33,6,3,4,45,0,0,6,10,18,4,1,0,0,3,32,1,2,1,1,0,179,5
Cluster57,3,7,2,1,3,26,3,11,4,42,1,1,5,11,2,1,27,3,13,11,8,103,205,11,32,32,24,5,143,623,0,0,34,0,0,14,1,0,187,26,300,1840,1377,0,0,20,3,0,0,0,15,2,8,2,0,0,0,3,8,2,1,1,2,0,12,19,0,0,2,0,0,11,0,0,0,74,0,0,0,0,0,28,0,0,0,2,3,1,0,1,0,1462,24,16,0,1,1,0,34,3,13,2,1,1,5,0
Cluster58,77,71,62,83,101,66,91,198,119,159,120,95,156,150,141,57,68,0,90,9,83,5,451,53,249,195,201,11,16,788,0,0,8,0,0,99,7,0,36,39,38,447,393,0,0,76,4,1,0,0,0,3,25,3,11,1,0,99,162,196,95,4,0,0,0,149,0,0,180,6,3,403,0,0,0,5,1,0,0,0,0,162,0,0,1,105,0,6,0,54,5,24,9,6,0,273,1,0,188,58,477,99,91,2,1,0
Cluster59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1465,0,0,0,0,0,61,0,0,2,2,0,0,0,0,0,0,1,36,33,0,0,0,0,182,3,9,0,2,0,0,0,4,6,0,230,169,12,0,61,10,40,189,2,0,100,551,528,0,0,0,0,0,0,3,0,99,45,0,96,107,0,0,0,0,0,0,11,1
